ID,PRDS1,PRDS2,PRDS3,PRDS4,PRDS5,DASS1,DASS2,DASS3,DASS4,DASS5,DASS6,DASS7,DASS8,DASS9,DASS10,DASS11,DASS12,DASS13,DASS14,DASS15,DASS16,DASS17,DASS18,DASS19,DASS20,DASS21,SCS1_PC,SCS2_PC,SCS3_PM,SCS4_PC,SCS5_PM,SCS6_PM,SCS7_PC,SCS8_PM,SCS9_PC,SCS10_PC,SCS11_PC,SCS12_PC,BPAQ1,BPAQ2,BPAQ3,BPAQ4,BPAQ5,BPAQ6,BPAQ7,BPAQ8,BPAQ9,BPAQ10,BPAQ11,BPAQ12,Income,Gender,Age,PC,PM,DASS,PRDS,BPAQ
1,6,1,6,3,4,4,4,2,2,4,4,3,3,4,3,3,4,2,3,2,3,3,3,4,3,2,6,6,3,3,6,2,5,2,2,6,3,3,2,2,1,4,4,4,5,4,4,5,5,4,7,2,42,4.25,3.25,3.095238095,4,3.666666667
2,2,5,2,3,1,2,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,6,6,6,5,5,3,4,2,2,4,3,4,4,3,4,4,2,2,3,3,3,13,2,26,3.875,5.5,1.238095238,2.6,3.25
3,2,5,2,3,3,1,1,2,1,3,4,2,2,3,4,3,2,4,3,2,3,3,4,2,2,4,4,5,3,4,6,3,3,5,2,3,5,7,1,1,2,2,2,1,4,3,2,5,3,4,3,1,58,4.125,4.25,2.619047619,3,2.5
4,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,3,5,2,6,6,2,5,2,3,3,1,1,1,1,3,1,1,1,1,1,1,1,1,16,2,42,2.25,5.5,1.19047619,1.4,1.166666667
5,3,2,5,2,4,3,1,1,1,4,2,1,3,1,2,3,4,1,4,1,2,1,4,1,1,1,3,2,7,1,7,7,3,6,3,2,1,3,1,1,1,4,3,2,4,2,2,1,1,1,10,2,28,2.25,6.75,2,3.2,1.916666667
6,5,5,4,6,6,4,4,4,1,3,1,2,3,3,4,3,4,4,1,3,4,4,1,3,1,3,1,7,2,5,5,3,7,3,3,7,6,7,1,1,1,2,1,1,1,1,1,4,4,4,3,2,34,5.375,3.25,2.857142857,5.2,1.833333333
7,3,4,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,6,5,4,4,6,5,5,4,6,5,4,5,1,1,1,2,1,1,1,1,1,2,3,2,9,2,67,5,4.75,1.095238095,3.2,1.416666667
8,3,3,2,3,2,3,2,3,2,3,3,1,3,2,2,3,3,2,3,1,2,1,3,1,3,2,4,3,5,2,5,6,5,5,3,3,5,3,2,1,1,4,4,4,5,4,2,2,3,4,8,2,31,3.5,5.25,2.285714286,2.6,3
9,3,4,2,3,3,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,3,5,5,3,5,5,6,5,3,5,2,3,1,1,1,2,1,1,1,1,2,2,3,2,12,2,49,3.75,5,1.19047619,3,1.5
10,4,3,4,3,4,3,3,2,3,2,3,1,2,3,2,3,4,3,3,3,2,2,2,1,2,2,2,4,4,4,4,6,5,4,4,4,5,5,1,4,1,NA,4,4,4,3,2,4,4,4,5,2,27,4.125,4.5,2.428571429,3.6,3.181818182
11,5,2,4,2,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,4,4,6,5,3,5,2,6,2,3,1,3,1,1,1,1,1,1,1,1,2,1,7,2,53,3.625,5,1.095238095,3.4,1.25
12,2,2,2,1,2,3,1,1,2,4,2,1,2,1,1,2,3,2,3,2,1,3,1,1,1,1,2,2,6,5,6,6,4,6,3,5,2,5,1,2,1,3,2,2,2,1,1,1,2,1,23,1,21,3.5,6,1.80952381,1.8,1.583333333
13,3,5,3,4,4,2,2,2,1,3,2,1,1,1,3,2,2,3,2,1,3,3,2,1,1,2,5,6,4,2,6,5,6,5,4,7,5,4,1,1,1,2,1,1,2,1,2,3,3,3,5,2,32,4.875,5,1.904761905,3.8,1.75
14,3,3,5,3,3,3,2,2,3,3,1,2,2,2,4,3,3,3,2,2,4,4,2,4,2,4,4,3,4,5,4,3,4,5,4,4,3,4,2,1,2,4,1,1,3,2,2,4,4,3,5,1,24,3.875,4,2.714285714,3.4,2.416666667
15,2,3,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,7,1,7,7,2,7,2,2,1,2,1,1,1,3,2,1,3,3,1,1,2,1,7,2,40,1.5,7,1.19047619,2,1.666666667
